Vehicle_Title,Ratings,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,highway MPG,city mpg,Popularity,MSRP,"Vehicle Style",Clean_rev,FeaturesDiscussed,Sentiment,Compound_Score
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),2.5,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",junk  never again bmw just lost another customer bmw used to be the signature of performance and reliability today at bmw it is all about profits gone are the days where you could drive your bimmer  with no problems this is our second  in two years as we thought our first was just a one off lemon let me warn youif you own one of these trucks be prepared to fix it i dont mean when it hits  i mean   last experience sent us over the edge as telescoping wheel motors failed and the tail lamp malfunction was reported on the computer and bmw said  to replace just the light and over a grand for the steering wheel motorswhatever i said and traded it in do yourself a favor a buy a infiniti or lexus ,"['wheel motors', 'tail lamp', 'lamp malfunction', 'steering wheel']",Positive,0.6964
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),4.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",falls apart after  miles there were bugs the first year or two but the dealer would provide a loaner so it was not a problemthe dealership staff was courteous and helpfulthe problems really started after  milesi missed a flight when the electrical system went haywireturns out it did not like syncing with my phone so no bluetooth phone to car nowthen around  my radiator went out  to  my water pump solenoid valve hood shocks never remember them working and hood latch replaced  out on road full of curves and hills but vehicle wont let you drive it if it thinks something is wrongvery dangerous situation resultedhad to sit on steep angle side of road,"['dealership staff', 'helpfulthe problems', '  milesi', 'bluetooth phone', 'water pump', 'pump solenoid', 'solenoid valve', 'valve shocks', 'hood shocks', 'hood latch', 'situation resultedhad', 'angle side']",Negative,-0.9424
2007 BMW X5 SUV 4.8i 4dr SUV AWD (4.8L 8cyl 6A),2.875,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",total electrical meltdown  bmw  on  july  with only  miles our bmw  suffered what an independent bmw auto repair shop later diagnosed as a total electrical meltdown involving almost all powertrain components and data bus systemsymptoms upon startup that morning included a level control system malfunction light a transmission malfunction warning a parking brake malfunction warning a passenger restraint malfunction warning an allwheel drive dsc abs and emergency abv malfunction warning as well as rapid windshield wiper movement and an intermittent engine start button,"['auto repair', 'repair shop', 'powertrain components', 'data bus', 'bus system\x94symptoms', 'level control', 'control system', 'system malfunction', 'transmission malfunction', 'parking brake', 'brake malfunction', 'passenger restraint', 'restraint malfunction', 'dsc abs', 'emergency abv', 'abv malfunction', 'windshield wiper', 'wiper movement', 'engine start', 'start button']",Negative,-0.9062
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),3.375,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",major disappointment after owning a landcruiser we were ready for something a bit smaller with better fuel economy the  is a beautiful car and a dream to drive unless its in the shop between check engine lights and computer updates we will sell this car as soon as it is out of the shop  for the  time this year alone even if we could afford the price tag of our almost monthly visits to bmw we cannot afford the unreliability and inconvenience of this vehicle when the car broke down on a major highway last week the dealership told us the vehicle was confused there was nothing wrong with it and we were good to go less than  hours later on another highway it broke down again,"['fuel economy', 'check lights', 'engine lights', 'computer updates', 'price tag']",Neutral,0.1928
2007 BMW X5 SUV 4.8i 4dr SUV AWD (4.8L 8cyl 6A),3.875,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",no major complaints purchased car brand new  expected lots of issues especially when i was reading reviews  to my surprise  pretty reliable only had to replace battery because of a bad cell could happen in any car ,['car brand'],Positive,0.2849
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),1.5,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",inshop  wksyr air conditioning  in shop currently for acceleration failure triple hesitation before going when you mash the gas   air conditioning repairs  about    years   moonroof replacement  dealership claims a childs kick entirely destroyed unit  mighty fine workmanship bmw   my last bmw unless they figure out that customer service still pays and its really more environmentally friendly to be  when  of  owners never leave the pavement the  that do are back at the dealership within hours no doubt,"['air conditioning', 'acceleration failure', 'air conditioning', 'conditioning repairs', 'moonroof replacement', '  dealership', 'childs kick', 'customer service', '  owners']",Negative,-0.2716
2007 BMW X5 SUV 4.8i 4dr SUV AWD (4.8L 8cyl 6A),1.75,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",worst suv in history run from this suv mine has been in the shop over  months two dead tow ins and two dead battery caused by electrical flaws poor customer support  it is march  and last time i drove it was feb  been at dealer no end in sight  now i have to sue them as they accept no responsibility for  get a good reliable auto not this ,"['suv mine', 'tow ins', 'customer support']",Negative,-0.9186
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),3.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",battery problem i have a   ever since we purchase this vehicle we had problems with the engine lights which the dealership told us is the battery problem it has took them several times to fix the part for the battery but still having problem with battery draining either low or high since having the vehicle for less than  years we must have gone to bmw for service no less than  times for problem such as peeling leather broken front venting knobs falling door panels unworkable menu buttons and more will never buy another bmw vehicle in my life ever again,"['battery problem', 'engine lights', 'battery problem', 'venting knobs', 'door panels', 'menu buttons', 'bmw vehicle']",Negative,-0.9688
2007 BMW X5 SUV 4.8i 4dr SUV AWD (4.8L 8cyl 6A),3.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",poor reliability lots of power great handling and lots of quality issues in less than  months it has been in the shop a good  months two dead batteries caused by flawed electronics non working air among other things completely dead twice so not a trust worthy car for a trip also issues take a long time to run down issues so it is out of service for a week or two at a time this suv is made in sc and not germany and is far from reliable when it dies it dies as everything is electronic you need a special tool even to get it into neutral  ,"['reliability lots', 'quality issues']",Negative,-0.8949
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),2.75,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",i will never buy another bmw the bmw  is my second bmw and my last i have nothing but issues since about month  of ownership i have experienced faulty transmission engine brake dsc errors the dealership was very pleasant when i brought the vehicle in for service yes i have a lot of miles on my vehicle but a luxury vehicle should last longer than  miles if could turn back the clock i would have kept my  this vehicle is not fun to drive because the errors occur while driving ,"['transmission engine', 'engine brake', 'brake dsc', 'dsc errors', 'luxury vehicle']",Negative,-0.5046
2007 BMW X5 SUV 4.8i 4dr SUV AWD (4.8L 8cyl 6A),3.875,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",bmw never again bought the car with sport package including  wheels wished ive known then what i know now replace the rims several  each or  to fixonce  were crack at the same time if i run over a pothole for sure  rim will crack in the city its hard to avoid potholes when traffic is too close behind those rims have run flat tiresso no sparesno car until new rims  days now there is a problem with the batteryit gets awaken for no reasonwhich means battery is deadso key is stucknothing workshad the car jumped and running would not get into gear pick up car  weekleft window was open during rainleft door  seat controls soaked including leather seat,"['sport package', 'deadso key', 'seat controls', 'leather seat']",Negative,-0.7506
2007 BMW X5 SUV 3.0si 4dr SUV AWD (3.0L 6cyl 6A),4.0,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",so far so good i didnt want to pay for the premium price for a new  so i got a use one  pro good driving overall great dealer service get used to hear people tell you nice car or suv  con little sluggish with  i want a  now but of course you will have to pay for it gas back cam broke and dealer replaced it no charge but the part only lasts three years for a back up cam i hope bmw does a better job ,"['premium price', 'dealer service']",Positive,0.7917
2007 BMW X5 SUV 4.8i 4dr SUV AWD (4.8L 8cyl 6A),4.625,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",great car i love my bmw great car lots of power best at taking turns at high speed i dont know any other suv like this one out there i had   before and  doesnt compare  it is in a different league with the power and the sound of engine i think its stick shift is the best idrive works fine not sure what others referring to all need my car to do is play a cd  bottom line  great core nothing compares it is made for the driver i do have side boards and i love them yes for short people hard to get out but i am tall and have no problem it is actually funny when short dudes complain how difficult to get out love the car  it was made for me  ,"['car lots', 'stick shift', 'idrive works', 'side boards']",Positive,0.9779
2007 BMW X5 SUV 4.8i 4dr SUV AWD (4.8L 8cyl 6A),1.875,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",im saying goodbye to bmw after  years my   has been nothing but a nightmare and the worse vehicle i have ever owned ive owned many new bmws   and two  series but my  is a completely different experience it is a loser a huge disappointment in terms of quality control problems but the worse part is how bmw has handled the issue  which is very poorly  was in for recurring service issues  months in   years for a series of false engine warning lights ele issues rear hatch door problems and cosmoline that drips onto glasspaint no support from bmw had to retain attorney as bmw na could care less bmw na execs clearly more concerned with their stock options than long term customers  bye bye bmw ,"['  series', 'quality control', 'control problems', 'service issues', '   years', 'engine warning', 'warning lights', 'ele issues', 'hatch door', 'door problems', 'na execs', 'stock options', 'term customers']",Negative,-0.9667
2007 BMW X5 SUV 4.8i 4dr SUV AWD (4.8L 8cyl 6A),4.25,X5,2015.0,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,31.0,24.0,3916.0,57700.0,"4dr SUV",the best car ive ever owned i need to preface this by stating that my previous car was a   so i can handle anything gremlins can throw at me so those individuals complaining about a few service issues are just whiners to me so lets get to the heart of this this car is a beast it growls and snarls with the ferocity of a caged dragon it throws you back into your seat and gives you butterflies in your stomach yet acts with the utmost refinement when traffics forbids its potency the way its sport mode flies through its rpm bandwidth is breathtaking it does everything extraordinarily  nothing mediocre its technology is prolific so glitches are par for the course drive one it is truly beauty and the beast,"['service issues', 'sport mode', 'rpm bandwidth']",Positive,0.9251
