Model,Sales,Price,Launch-Date,Days,Months,Years
Chrysler     - LHS              ,13.462,28.34,2014-08-05,1175,39,3
Chrysler     - 300M             ,30.695999999999998,29.185,2014-10-02,1117,37,3
Dodge        - Neon             ,76.03399999999999,12.64,2015-12-12,681,22,1
Dodge        - Avenger          ,4.734,19.045,2014-01-07,1385,46,3
Dodge        - Stratus          ,71.186,20.23,2015-10-31,723,24,1
Dodge        - Intrepid         ,88.02799999999999,22.505,2014-02-06,1355,45,3
Dodge        - Viper            ,0.9159999999999999,69.725,2015-07-08,838,27,2
Dodge        - Ram Pickup       ,227.06099999999998,19.46,2014-06-03,1238,41,3
Dodge        - Ram Wagon        ,16.767,21.315,2014-06-01,1240,41,3
Dodge        - Ram Van          ,31.038,18.575,2014-07-26,1185,39,3
Dodge        - Dakota           ,111.31299999999999,16.98,2015-11-25,698,23,1
Dodge        - Durango          ,101.323,26.31,2014-06-27,1214,40,3
Dodge        - Caravan          ,181.74900000000002,19.565,2015-01-09,1018,33,2
Ford         - Escort           ,70.227,12.07,2014-03-31,1302,43,3
Ford         - Mustang          ,113.369,21.56,2014-01-31,1361,45,3
Ford         - Contour          ,35.068000000000005,17.035,2014-08-20,1160,38,3
Ford         - Taurus           ,245.815,17.885,2015-12-20,673,22,1
Ford         - Focus            ,175.67,12.315,2014-07-22,1189,39,3
Ford         - Crown Victoria   ,63.403,22.195,2015-09-26,758,25,2
Ford         - Explorer         ,276.747,31.93,2014-04-25,1277,42,3
Ford         - Windstar         ,155.787,21.41,2014-02-25,1336,44,3
Ford         - Expedition       ,125.338,36.135,2014-09-14,1135,37,3
Ford         - Ranger           ,220.65,12.05,2014-01-14,1378,45,3
Ford         - F-Series         ,540.561,26.935,2014-08-16,1164,38,3
Honda        - Civic            ,199.685,12.885,2015-10-21,733,24,2
Honda        - Accord           ,230.90200000000002,15.35,2014-05-20,1252,41,3
Honda        - CR-V             ,73.203,20.55,2014-03-21,1312,43,3
Honda        - Passport         ,12.855,26.6,2014-09-10,1139,37,3
Honda        - Odyssey          ,76.029,26.0,2014-08-02,1178,39,3
Hyundai      - Accent           ,41.184,9.699,2014-10-09,1110,37,3
Hyundai      - Elantra          ,66.692,11.799000000000001,2015-11-15,708,23,1
Hyundai      - Sonata           ,29.45,14.999,2014-06-14,1227,40,3
Infiniti     - I30              ,23.713,29.465,2014-04-15,1287,42,3
Jaguar       - S-Type           ,15.467,42.8,2014-03-11,1322,44,3
Jeep         - Wrangler         ,55.556999999999995,14.46,2014-04-03,1299,43,3
Jeep         - Cherokee         ,80.556,21.62,2014-05-10,1262,42,3
Jeep         - Grand Cherokee   ,157.04,26.895,2015-10-12,742,24,2
Lexus        - ES300            ,24.072,31.505,2014-09-07,1142,38,3
Lexus        - GS300            ,12.698,37.805,2014-10-05,1114,37,3
Lexus        - GS400            ,3.3339999999999996,46.305,2014-11-28,1060,35,2
Lexus        - LS400            ,6.375,54.005,2014-03-29,1304,43,3
Lexus        - LX470            ,9.126,60.105,2014-10-30,1089,36,2
Lexus        - RX300            ,51.238,34.605,2014-04-01,1301,43,3
Lincoln      - Continental      ,13.798,39.08,2014-03-08,1325,44,3
Lincoln      - Town car         ,48.911,43.33,2014-04-06,1296,43,3
Lincoln      - Navigator        ,22.925,42.66,2014-12-23,1035,34,2
Mitsubishi   - Mirage           ,26.232,13.987,2014-04-23,1279,42,3
Mitsubishi   - Eclipse          ,42.541000000000004,19.047,2014-11-24,1064,35,2
Mitsubishi   - Galant           ,55.61600000000001,17.357,2014-01-29,1363,45,3
Mitsubishi   - Diamante         ,5.711,24.997,2014-08-28,1152,38,3
Mitsubishi   - 3000GT           ,0.11,25.45,2014-06-29,1212,40,3
Mitsubishi   - Montero          ,11.337,31.807,2014-01-17,1375,45,3
Mitsubishi   - Montero Sport    ,39.348,22.526999999999997,2014-05-18,1254,41,3
Mercury      - Mystique         ,14.350999999999999,16.24,2014-12-19,1039,34,2
Mercury      - Cougar           ,26.529,16.54,2014-02-23,1338,44,3
Mercury      - Sable            ,67.956,19.035,2014-09-22,1127,37,3
Mercury      - Grand Marquis    ,81.17399999999999,22.605,2014-07-24,1187,39,3
Mercury      - Mountaineer      ,27.609,27.56,2008-02-13,3540,118,9
Mercury      - Villager         ,20.38,22.51,2009-10-20,2925,97,8
Mercedes-Benz- C-Class          ,18.392,31.75,2015-04-24,913,30,2
Mercedes-Benz- E-Class          ,27.601999999999997,49.9,2015-12-07,686,22,1
Mercedes-Benz- S-Class          ,16.774,69.7,2015-06-13,863,28,2
Mercedes-Benz- SL-Class         ,3.3110000000000004,82.6,2015-03-17,951,31,2
Mercedes-Benz- SLK              ,7.997999999999999,38.9,2015-01-16,1011,33,2
Mercedes-Benz- SLK230           ,1.526,41.0,2015-06-08,868,28,2
Mercedes-Benz- CLK Coupe        ,11.592,41.6,2015-08-07,808,26,2
Mercedes-Benz- CL500            ,0.9540000000000001,85.5,2015-11-04,719,23,1
Mercedes-Benz- M-Class          ,28.976,35.3,2015-10-02,752,25,2
Nissan       - Sentra           ,42.643,13.499,2015-08-31,784,26,2
Nissan       - Altima           ,88.094,20.39,2015-02-08,988,32,2
Nissan       - Maxima           ,79.85300000000001,26.249000000000002,2015-06-05,871,29,2
Nissan       - Quest            ,27.308000000000003,26.399,2015-07-03,843,28,2
Nissan       - Pathfinder       ,42.574,29.299,2015-09-25,759,25,2
Nissan       - Xterra           ,54.158,22.799,2015-01-24,1003,33,2
Nissan       - Frontier         ,65.005,17.89,2015-08-27,788,26,2
Oldsmobile   - Cutlass          ,1.112,18.145,2015-05-31,876,29,2
Oldsmobile   - Intrigue         ,38.554,24.15,2015-01-04,1023,34,2
Oldsmobile   - Alero            ,80.255,18.27,2009-10-20,2925,97,8
Oldsmobile   - Aurora           ,14.69,36.229,2015-02-18,978,32,2
Oldsmobile   - Bravada          ,20.017,31.598000000000003,2015-09-21,763,25,2
Oldsmobile   - Silhouette       ,24.361,25.345,2015-06-25,851,28,2
Plymouth     - Neon             ,32.734,12.64,2015-04-26,911,30,2
Plymouth     - Breeze           ,5.24,16.08,2015-11-14,709,23,1
Plymouth     - Voyager          ,24.155,18.85,2015-04-24,913,30,2
Plymouth     - Prowler          ,1.8719999999999999,43.0,2014-06-27,1214,40,3
Pontiac      - Sunfire          ,51.645,21.61,2014-01-25,1367,45,3
Pontiac      - Grand Am         ,131.097,19.72,2014-11-26,1062,35,2
Pontiac      - Firebird         ,19.910999999999998,25.31,2014-06-16,1225,40,3
Pontiac      - Grand Prix       ,92.36399999999999,21.665,2014-10-15,1104,36,3
Pontiac      - Bonneville       ,35.945,23.755,2015-05-18,889,29,2
Pontiac      - Montana          ,39.571999999999996,25.635,2014-07-22,1189,39,3
Porsche      - Boxter           ,8.982000000000001,41.43,2014-02-19,1342,44,3
Porsche      - Carrera Coupe    ,1.28,71.02,2014-12-21,1037,34,2
Porsche      - Carrera Cabriolet,1.8659999999999999,74.97,2015-11-07,716,23,1
Saab         - 5-Sep,9.191,33.12,2014-09-11,1138,37,3
Saab         - 3-Sep,12.115,26.1,2015-12-06,687,22,1
Saturn       - SL               ,80.62,10.685,2014-08-16,1164,38,3
Saturn       - SC               ,24.546,12.535,2015-03-16,952,31,2
Saturn       - SW               ,5.223,14.29,2015-01-15,1012,33,2
Saturn       - LW               ,8.472000000000001,18.835,2015-05-08,899,29,2
Saturn       - LS               ,49.989,15.01,2014-04-12,1290,43,3
Subaru       - Outback          ,47.107,22.695,2015-07-07,839,27,2
Subaru       - Forester         ,33.028,20.095,2014-10-09,1110,37,3
Toyota       - Corolla          ,142.535,13.107999999999999,2015-11-04,719,23,1
Toyota       - Camry            ,247.99400000000003,17.518,2015-10-02,752,25,2
Toyota       - Avalon           ,63.849,25.545,2015-08-31,784,26,2
Toyota       - Celica           ,33.269,16.875,2014-12-29,1029,34,2
Toyota       - Tacoma           ,84.087,11.527999999999999,2015-01-08,1019,33,2
Toyota       - Sienna           ,65.119,22.368000000000002,2014-05-10,1262,42,3
Toyota       - RAV4             ,25.105999999999998,16.887999999999998,2015-06-05,871,29,2
Toyota       - 4Runner          ,68.411,22.288,2015-07-03,843,28,2
Toyota       - Land Cruiser     ,9.835,51.728,2015-09-25,759,25,2
Volkswagen   - Golf             ,9.761000000000001,14.9,2015-01-24,1003,33,2
Volkswagen   - Jetta            ,83.721,16.7,2015-08-27,788,26,2
Volkswagen   - Passat           ,51.102,21.2,2014-10-30,1089,36,2
Volkswagen   - Cabrio           ,9.568999999999999,19.99,2015-05-31,876,29,2
Volkswagen   - GTI              ,5.596,17.5,2015-01-04,1023,34,2
Volkswagen   - Beetle           ,49.463,15.9,2015-10-20,734,24,2
Volvo        - S40              ,16.957,23.4,2015-02-18,978,32,2
Volvo        - V40              ,3.545,24.4,2015-09-21,763,25,2
Volvo        - S70              ,15.245,27.5,2014-11-24,1064,35,2
Volvo        - V70              ,17.531,28.8,2015-06-25,851,28,2
Volvo        - C70              ,3.4930000000000003,45.5,2015-04-26,911,30,2
Volvo        - S80              ,18.969,36.0,2015-11-14,709,23,1
