,price,enginetype,fueltype,aspiration,carbody,cylindernumber,drivewheel,wheelbase,curbweight,enginesize,boreratio,horsepower,citympg,highwaympg,carlength,carwidth,cluster
88,9279,3,1,0,3,2,1,96.3,2403,110,3.17,116,23,30,172.4,65.4,0
89,5499,3,1,0,3,2,1,94.5,1889,97,3.15,69,31,37,165.3,63.8,0
90,7099,3,0,0,3,2,1,94.5,2017,103,2.99,55,45,50,165.3,63.8,0
91,6649,3,1,0,3,2,1,94.5,1918,97,3.15,69,31,37,165.3,63.8,0
92,6849,3,1,0,3,2,1,94.5,1938,97,3.15,69,31,37,165.3,63.8,0
93,7349,3,1,0,4,2,1,94.5,2024,97,3.15,69,31,37,170.2,63.8,0
94,7299,3,1,0,3,2,1,94.5,1951,97,3.15,69,31,37,165.3,63.8,0
95,7799,3,1,0,2,2,1,94.5,2028,97,3.15,69,31,37,165.6,63.8,0
96,7499,3,1,0,3,2,1,94.5,1971,97,3.15,69,31,37,165.3,63.8,0
97,7999,3,1,0,4,2,1,94.5,2037,97,3.15,69,31,37,170.2,63.8,0
98,8249,3,1,0,1,2,1,95.1,2008,97,3.15,69,31,37,162.4,63.8,0
99,8949,3,1,0,2,2,1,97.2,2324,120,3.33,97,27,34,173.4,65.2,0
100,9549,3,1,0,3,2,1,97.2,2302,120,3.33,97,27,34,173.4,65.2,0
101,13499,5,1,0,3,3,1,100.4,3095,181,3.43,152,17,22,181.7,66.5,2
102,14399,5,1,0,4,3,1,100.4,3296,181,3.43,152,17,22,184.6,66.5,2
103,13499,5,1,0,3,3,1,100.4,3060,181,3.43,152,19,25,184.6,66.5,2
104,17199,5,1,0,2,3,2,91.3,3071,181,3.43,160,19,25,170.7,67.9,2
105,19699,5,1,1,2,3,2,91.3,3139,181,3.43,200,17,23,170.7,67.9,2
106,18399,5,1,0,2,3,2,99.2,3139,181,3.43,160,19,25,178.5,67.9,2
107,11900,2,1,0,3,2,2,107.9,3020,120,3.46,97,19,24,186.7,68.4,0
108,13200,2,0,1,3,2,2,107.9,3197,152,3.7,95,28,33,186.7,68.4,2
109,12440,2,1,0,4,2,2,114.2,3230,120,3.46,97,19,24,198.9,68.4,0
110,13860,2,0,1,4,2,2,114.2,3430,152,3.7,95,25,25,198.9,68.4,2
111,15580,2,1,0,3,2,2,107.9,3075,120,3.46,95,19,24,186.7,68.4,2
112,16900,2,0,1,3,2,2,107.9,3252,152,3.7,95,28,33,186.7,68.4,2
113,16695,2,1,0,4,2,2,114.2,3285,120,3.46,95,19,24,198.9,68.4,2
114,17075,2,0,1,4,2,2,114.2,3485,152,3.7,95,25,25,198.9,68.4,2
115,16630,2,1,0,3,2,2,107.9,3075,120,3.46,97,19,24,186.7,68.4,2
116,17950,2,0,1,3,2,2,107.9,3252,152,3.7,95,28,33,186.7,68.4,2
117,18150,2,1,1,3,2,2,108.0,3130,134,3.61,142,18,24,186.7,68.3,2
118,5572,3,1,0,2,2,1,93.7,1918,90,2.97,68,37,41,157.3,63.8,0
119,7957,3,1,1,2,2,1,93.7,2128,98,3.03,102,24,30,157.3,63.8,0
120,6229,3,1,0,2,2,1,93.7,1967,90,2.97,68,31,38,157.3,63.8,0
121,6692,3,1,0,3,2,1,93.7,1989,90,2.97,68,31,38,167.3,63.8,0
122,7609,3,1,0,3,2,1,93.7,2191,98,2.97,68,31,38,167.3,63.8,0
123,8921,3,1,0,4,2,1,103.3,2535,122,3.35,88,24,30,174.6,64.6,0
124,12764,3,1,1,2,2,2,95.9,2818,156,3.59,145,19,24,173.2,66.3,2
125,22018,3,1,0,2,2,2,94.5,2778,151,3.94,143,19,27,168.9,68.3,2
126,32528,4,1,0,1,3,2,89.5,2756,194,3.74,207,17,25,168.9,65.0,1
127,34028,4,1,0,1,3,2,89.5,2756,194,3.74,207,17,25,168.9,65.0,1
128,37028,4,1,0,0,3,2,89.5,2800,194,3.74,207,17,25,168.9,65.0,1
129,31400,1,1,0,2,0,2,98.4,3366,203,3.94,288,17,28,175.7,72.3,1
130,9295,3,1,0,4,2,1,96.1,2579,132,3.46,90,23,31,181.5,66.5,0
131,9895,3,1,0,2,2,1,96.1,2460,132,3.46,90,23,31,176.8,66.6,0
132,11850,3,1,0,2,2,1,99.1,2658,121,3.54,110,21,28,186.6,66.5,0
133,12170,3,1,0,3,2,1,99.1,2695,121,3.54,110,21,28,186.6,66.5,0
134,15040,3,1,0,2,2,1,99.1,2707,121,2.54,110,21,28,186.6,66.5,2
135,15510,3,1,0,3,2,1,99.1,2758,121,3.54,110,21,28,186.6,66.5,2
136,18150,0,1,1,2,2,1,99.1,2808,121,3.54,160,19,26,186.6,66.5,2
137,18620,0,1,1,3,2,1,99.1,2847,121,3.54,160,19,26,186.6,66.5,2
138,5118,4,1,0,2,2,1,93.7,2050,97,3.62,69,31,36,156.9,63.4,0
139,7053,4,1,0,2,2,1,93.7,2120,108,3.62,73,26,31,157.9,63.6,0
140,7603,4,1,0,2,2,0,93.3,2240,108,3.62,73,26,31,157.3,63.8,0
141,7126,4,1,0,3,2,1,97.2,2145,108,3.62,82,32,37,172.0,65.4,0
142,7775,4,1,0,3,2,1,97.2,2190,108,3.62,82,28,33,172.0,65.4,0
143,9960,4,1,0,3,2,1,97.2,2340,108,3.62,94,26,32,172.0,65.4,0
144,9233,4,1,0,3,2,0,97.0,2385,108,3.62,82,24,25,172.0,65.4,0
145,11259,4,1,1,3,2,0,97.0,2510,108,3.62,111,24,29,172.0,65.4,0
146,7463,4,1,0,4,2,1,97.0,2290,108,3.62,82,28,32,173.5,65.4,0
147,10198,4,1,0,4,2,1,97.0,2455,108,3.62,94,25,31,173.5,65.4,0
148,8013,4,1,0,4,2,0,96.9,2420,108,3.62,82,23,29,173.6,65.4,0
149,11694,4,1,1,4,2,0,96.9,2650,108,3.62,111,23,23,173.6,65.4,0
150,5348,3,1,0,2,2,1,95.7,1985,92,3.05,62,35,39,158.7,63.6,0
151,6338,3,1,0,2,2,1,95.7,2040,92,3.05,62,31,38,158.7,63.6,0
152,6488,3,1,0,2,2,1,95.7,2015,92,3.05,62,31,38,158.7,63.6,0
153,6918,3,1,0,4,2,1,95.7,2280,92,3.05,62,31,37,169.7,63.6,0
154,7898,3,1,0,4,2,0,95.7,2290,92,3.05,62,27,32,169.7,63.6,0
155,8778,3,1,0,4,2,0,95.7,3110,92,3.05,62,27,32,169.7,63.6,0
156,6938,3,1,0,3,2,1,95.7,2081,98,3.19,70,30,37,166.3,64.4,0
157,7198,3,1,0,2,2,1,95.7,2109,98,3.19,70,30,37,166.3,64.4,0
158,7898,3,0,0,3,2,1,95.7,2275,110,3.27,56,34,36,166.3,64.4,0
159,7788,3,0,0,2,2,1,95.7,2275,110,3.27,56,38,47,166.3,64.4,0
160,7738,3,1,0,3,2,1,95.7,2094,98,3.19,70,38,47,166.3,64.4,0
161,8358,3,1,0,2,2,1,95.7,2122,98,3.19,70,28,34,166.3,64.4,0
162,9258,3,1,0,3,2,1,95.7,2140,98,3.19,70,28,34,166.3,64.4,0
163,8058,3,1,0,3,2,2,94.5,2169,98,3.19,70,29,34,168.7,64.0,0
164,8238,3,1,0,2,2,2,94.5,2204,98,3.19,70,29,34,168.7,64.0,0
165,9298,0,1,0,3,2,2,94.5,2265,98,3.24,112,26,29,168.7,64.0,0
166,9538,0,1,0,2,2,2,94.5,2300,98,3.24,112,26,29,168.7,64.0,0
167,8449,3,1,0,1,2,2,98.4,2540,146,3.62,116,24,30,176.2,65.6,0
168,9639,3,1,0,1,2,2,98.4,2536,146,3.62,116,24,30,176.2,65.6,0
169,9989,3,1,0,2,2,2,98.4,2551,146,3.62,116,24,30,176.2,65.6,0
170,11199,3,1,0,1,2,2,98.4,2679,146,3.62,116,24,30,176.2,65.6,0
171,11549,3,1,0,2,2,2,98.4,2714,146,3.62,116,24,30,176.2,65.6,0
172,17669,3,1,0,0,2,2,98.4,2975,146,3.62,116,24,30,176.2,65.6,2
173,8948,3,1,0,3,2,1,102.4,2326,122,3.31,92,29,34,175.6,66.5,0
174,10698,3,0,1,3,2,1,102.4,2480,110,3.27,73,30,33,175.6,66.5,0
175,9988,3,1,0,2,2,1,102.4,2414,122,3.31,92,27,32,175.6,66.5,0
176,10898,3,1,0,3,2,1,102.4,2414,122,3.31,92,27,32,175.6,66.5,0
177,11248,3,1,0,2,2,1,102.4,2458,122,3.31,92,27,32,175.6,66.5,0
178,16558,0,1,0,2,3,2,102.9,2976,171,3.27,161,20,24,183.5,67.7,2
179,15998,0,1,0,2,3,2,102.9,3016,171,3.27,161,19,24,183.5,67.7,2
180,15690,0,1,0,3,3,2,104.5,3131,171,3.27,156,20,24,187.8,66.5,2
181,15750,0,1,0,4,3,2,104.5,3151,161,3.27,156,19,24,187.8,66.5,2
182,7775,3,0,0,3,2,1,97.3,2261,97,3.01,52,37,46,171.7,65.5,0
183,7975,3,1,0,3,2,1,97.3,2209,109,3.19,85,27,34,171.7,65.5,0
184,7995,3,0,0,3,2,1,97.3,2264,97,3.01,52,37,46,171.7,65.5,0
185,8195,3,1,0,3,2,1,97.3,2212,109,3.19,85,27,34,171.7,65.5,0
186,8495,3,1,0,3,2,1,97.3,2275,109,3.19,85,27,34,171.7,65.5,0
187,9495,3,0,1,3,2,1,97.3,2319,97,3.01,68,37,42,171.7,65.5,0
188,9995,3,1,0,3,2,1,97.3,2300,109,3.19,100,26,32,171.7,65.5,0
189,11595,3,1,0,0,2,1,94.5,2254,109,3.19,90,24,29,159.3,64.2,0
190,9980,3,1,0,2,2,1,94.5,2221,109,3.19,90,24,29,165.7,64.0,0
191,13295,3,1,0,3,1,1,100.4,2661,136,3.19,110,19,24,180.2,66.9,2
192,13845,3,0,1,3,2,1,100.4,2579,97,3.01,68,33,38,180.2,66.9,2
193,12290,3,1,0,4,2,1,100.4,2563,109,3.19,88,25,31,183.1,66.9,0
194,12940,3,1,0,3,2,2,104.3,2912,141,3.78,114,23,28,188.8,67.2,2
195,13415,3,1,0,4,2,2,104.3,3034,141,3.78,114,23,28,188.8,67.2,2
196,15985,3,1,0,3,2,2,104.3,2935,141,3.78,114,24,28,188.8,67.2,2
197,16515,3,1,0,4,2,2,104.3,3042,141,3.78,114,24,28,188.8,67.2,2
198,18420,3,1,1,3,2,2,104.3,3045,130,3.62,162,17,22,188.8,67.2,2
199,18950,3,1,1,4,2,2,104.3,3157,130,3.62,162,17,22,188.8,67.2,2
200,16845,3,1,0,3,2,2,109.1,2952,141,3.78,114,23,28,188.8,68.9,2
201,19045,3,1,1,3,2,2,109.1,3049,141,3.78,160,19,25,188.8,68.8,2
202,21485,5,1,0,3,3,2,109.1,3012,173,3.58,134,18,23,188.8,68.9,2
203,22470,3,0,1,3,3,2,109.1,3217,145,3.01,106,26,27,188.8,68.9,2
204,22625,3,1,1,3,2,2,109.1,3062,141,3.78,114,19,25,188.8,68.9,2
